,folder,file,class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,mridanga,C:\Users\rames\OneDrive\Desktop\namma\MusicLiveAudioMixing\sounds\mridanga\uks_tani1_file_1.wav,1,-451.491943359375,141.53363037109375,28.015323638916016,18.86918830871582,12.64140510559082,8.525525093078613,-7.222494125366211,-1.7061362266540527,-5.908017158508301,-2.6196577548980713,-1.836923360824585,-2.7139265537261963,-0.6188762187957764,-4.765178680419922,-2.4249930381774902,0.4187638461589813,1.8372563123703003,5.6151442527771,5.693042278289795,6.736571788787842
1,mridanga,C:\Users\rames\OneDrive\Desktop\namma\MusicLiveAudioMixing\sounds\mridanga\uks_tani1_file_10.wav,1,-473.1408996582031,126.13265991210938,20.262113571166992,12.38150405883789,11.520379066467285,6.494797229766846,-5.717353343963623,-2.4259307384490967,-8.4867582321167,-4.333454608917236,-3.7411322593688965,-4.940279483795166,-3.6138722896575928,-5.515124797821045,-4.24551248550415,-1.010237693786621,1.151117205619812,6.438902378082275,5.499386787414551,6.390815258026123
2,mridanga,C:\Users\rames\OneDrive\Desktop\namma\MusicLiveAudioMixing\sounds\mridanga\uks_tani1_file_100.wav,1,-515.033203125,119.5155029296875,-3.4903576374053955,7.060856342315674,12.061169624328613,14.356378555297852,-6.172790050506592,5.411877155303955,-9.358949661254883,-5.73806619644165,-3.954136848449707,-4.964574813842773,-10.512114524841309,-5.327112197875977,-6.294144630432129,3.541006326675415,1.5598942041397095,9.093795776367188,3.040332794189453,6.36834192276001
3,mridanga,C:\Users\rames\OneDrive\Desktop\namma\MusicLiveAudioMixing\sounds\mridanga\uks_tani1_file_101.wav,1,-499.3206481933594,115.78057098388672,17.857210159301758,9.55595874786377,13.433733940124512,14.39126205444336,5.651864528656006,6.99655818939209,-1.487318754196167,-2.2077255249023438,-1.1240147352218628,-3.4656927585601807,-7.4775896072387695,-6.303216457366943,-4.7752485275268555,1.2743440866470337,0.6251943111419678,4.707362651824951,2.1986799240112305,3.2683603763580322
4,mridanga,C:\Users\rames\OneDrive\Desktop\namma\MusicLiveAudioMixing\sounds\mridanga\uks_tani1_file_102.wav,1,-509.78961181640625,121.59410858154297,1.3340381383895874,5.771701335906982,10.732198715209961,12.73410415649414,-2.949779510498047,5.569609642028809,-2.563748598098755,-2.854574203491211,-3.1794168949127197,-5.477240562438965,-11.644209861755371,-6.447506427764893,-6.834514617919922,0.013974758796393871,-2.824028730392456,7.6159186363220215,1.1233857870101929,3.7523860931396484
5,mridanga,C:\Users\rames\OneDrive\Desktop\namma\MusicLiveAudioMixing\sounds\mridanga\uks_tani1_file_103.wav,1,-503.4184265136719,123.66374206542969,-0.0831700935959816,3.923403263092041,11.414993286132812,11.816143035888672,-4.208978652954102,5.99617338180542,-0.8407441973686218,-1.5409265756607056,-3.9878718852996826,-4.822971820831299,-10.763214111328125,-5.9222283363342285,-6.110814094543457,-2.0520966053009033,-4.130204200744629,6.4749226570129395,1.5522608757019043,5.244176864624023
6,mridanga,C:\Users\rames\OneDrive\Desktop\namma\MusicLiveAudioMixing\sounds\mridanga\uks_tani1_file_104.wav,1,-473.8995361328125,124.69181823730469,-5.78461217880249,2.398271083831787,8.959587097167969,8.216973304748535,-7.079369068145752,4.771405220031738,-4.114943504333496,-1.2369556427001953,-2.8199715614318848,-4.588440418243408,-10.400861740112305,-6.562429904937744,-6.8481974601745605,0.07295917719602585,-3.5775365829467773,6.5142292976379395,2.101871967315674,5.075189113616943
7,mridanga,C:\Users\rames\OneDrive\Desktop\namma\MusicLiveAudioMixing\sounds\mridanga\uks_tani1_file_105.wav,1,-442.0106506347656,122.51226806640625,9.085166931152344,8.244940757751465,9.031856536865234,8.729366302490234,0.18578530848026276,5.246335983276367,-4.986242294311523,-3.720040798187256,-1.4626842737197876,-5.033297061920166,-9.105168342590332,-6.49017858505249,-4.781073093414307,-0.23785799741744995,0.2790999114513397,3.9020137786865234,2.32397723197937,2.8888187408447266
8,mridanga,C:\Users\rames\OneDrive\Desktop\namma\MusicLiveAudioMixing\sounds\mridanga\uks_tani1_file_106.wav,1,-435.27154541015625,144.93563842773438,23.717864990234375,12.85080623626709,13.702109336853027,12.970267295837402,-4.19303560256958,-4.599926948547363,-4.945205211639404,-3.433727264404297,-4.915386199951172,-6.8641462326049805,-5.048831462860107,-6.241066932678223,-5.640429973602295,-1.9750685691833496,-0.33809131383895874,3.0651423931121826,0.3603314757347107,2.54858660697937
9,mridanga,C:\Users\rames\OneDrive\Desktop\namma\MusicLiveAudioMixing\sounds\mridanga\uks_tani1_file_107.wav,1,-504.6602783203125,124.18680572509766,32.22848129272461,16.153413772583008,13.222444534301758,10.472990989685059,-0.6951046586036682,0.5238232016563416,-4.9001312255859375,-3.621408224105835,-2.733167886734009,-5.272815227508545,-4.725971698760986,-4.056186199188232,-2.9048874378204346,0.7143911123275757,1.6297202110290527,4.644039630889893,3.244779348373413,3.8501131534576416
10,mridanga,C:\Users\rames\OneDrive\Desktop\namma\MusicLiveAudioMixing\sounds\mridanga\uks_tani1_file_108.wav,1,-516.1402587890625,133.72633361816406,8.819869041442871,10.104851722717285,16.860496520996094,13.24902629852295,-6.9288506507873535,2.120502471923828,-7.269684791564941,-5.145682334899902,-3.575291872024536,-5.394505500793457,-7.989387512207031,-5.487689971923828,-4.297374248504639,2.1134328842163086,-1.5958547592163086,7.408408164978027,3.7959835529327393,4.47507381439209
11,mridanga,C:\Users\rames\OneDrive\Desktop\namma\MusicLiveAudioMixing\sounds\mridanga\uks_tani1_file_109.wav,1,-496.4981994628906,139.65353393554688,27.207666397094727,22.21238136291504,12.724104881286621,16.372013092041016,5.14189338684082,7.203773498535156,-4.770299434661865,0.06721244752407074,-1.6907342672348022,-5.104480743408203,-6.1267876625061035,-5.893914222717285,-4.786465644836426,-0.0012452894588932395,-2.4705049991607666,2.650754690170288,0.003004468511790037,3.8437271118164062
12,mridanga,C:\Users\rames\OneDrive\Desktop\namma\MusicLiveAudioMixing\sounds\mridanga\uks_tani1_file_11.wav,1,-474.8038330078125,133.3978271484375,26.428640365600586,12.902205467224121,9.722159385681152,7.9712042808532715,-4.375378608703613,-3.005756378173828,-7.504662990570068,-3.374213695526123,-2.979753017425537,-4.125734329223633,-4.162338733673096,-4.052335739135742,-2.2997171878814697,0.8566084504127502,1.9834171533584595,6.368429660797119,4.825580596923828,6.36235237121582
13,mridanga,C:\Users\rames\OneDrive\Desktop\namma\MusicLiveAudioMixing\sounds\mridanga\uks_tani1_file_110.wav,1,-507.9783020019531,142.19366455078125,26.95701026916504,19.465532302856445,14.756319046020508,21.297883987426758,4.3966064453125,7.095945358276367,-1.1045491695404053,0.18267491459846497,-0.7569882273674011,-4.459831714630127,-6.4774627685546875,-6.42083215713501,-5.290626049041748,-0.9628171324729919,-2.6810312271118164,2.665044069290161,-0.7629119157791138,2.2795217037200928
